Maker Wise Financial Year Data  For All State (),,,
S No,                      Maker                       ,Financial Year ,     TOTAL     
1529,UK MODEN (IMPORTER: ELTHOR EV PVT LTD),1,1
1530,ULTRAVIOLETTE AUTOMOTIVE PVT LTD,547,547
1531,UMA  AUTO INDUSTRIES PVT. LTD,45,45
1532,UMA MOTORS,260,260
1533,UNIPAVE ENGINEERING PRODUCTS,14,14
1534,UNIQUE AUTO ELECTRIC,"1,872","1,872"
1535,UNIQUE ENTERPRISES,"3,383","3,383"
1536,UNIQUE INTERNATIONAL,"13,230","13,230"
1537,UNITED TRANSMOVERS PVT LTD,375,375
1538,UNITER ENGINEERING PRODUCTS,2,2
1539,UP FURNITURE,1,1
1540,U.P. TELELINKS LIMITED,"2,718","2,718"
1541,URWASHI ENTERPRISES,772,772
1542,USHASONS AUTO COMPONENTS,27,27
1543,UTTAM CONSTRUCTION EQUIPMENTS,170,170
1544,VAHAK FUTURE SOLUTIONS LLP,78,78
1545,VAIBHAV ENGG. WORKS,8,8
1546,VALDO TRACTORS PVT LTD,1,1
1547,VANDANA TRAILERS AND BODY MFG PVT LTD,5,5
1548,VANI ELECTRIC VEHICLES PVT LTD,"7,245","7,245"
1549,VASANT FABRICATORS PVT LTD,1,1
1550,VASHAN AGRICULTURE WORKS,9,9
1551,VE COMMERCIAL VEHICLES LTD,"76,750","76,750"
1552,VE COMMERCIAL VEHICLES LTD (VOLVO BUSES DIVISION),601,601
1553,VECTRA ADVANCED ENGINEERING (P) LTD,2,2
1554,VEECTERO E VEHICLES LLP,66,66
1555,VEERA VAHANA UDYOG PRIVATE LIMITED,11,11
1556,VEERA VIDYUTH VAHANA PVT LTD,48,48
1557,VEERBHADRA ENGINEERING WORKS,36,36
1558,VEHICLE FACTORY JABALPUR,29,29
1559,VELOCIFERO (IMPORTER: KAWVELOCE MOTORS PVT LTD),38,38
1560,VENKATESHWARA ENGINEERING WORK,60,60
1561,VENKATESHWAR AGRO INDUSTRIES,2,2
1562,VENUS AUTO WHEELS PVT LTD,499,499
1563,VENUS EQUIPMENT,153,153
1564,VERT EQUIPMENT PVT LTD,37,37
1565,VICTORY ELECTRIC INTERNATIONAL,"2,199","2,199"
1566,VIDARBHA TRAILERS,23,23
1567,VIJAYA ELECTRIC AUTO PVT LTD,181,181
1568,VIJAYALAKSHIMI ENGG WORKS,2,2
1569,VIJAYALAKSHMI INDUSTRIES,1,1
1570,VIJAY ENGINEERING WORKS,1,1
1571,VIJAYLAXMI AUTO GARAGE MALKANGIRI KUMUTIGUDA,1,1
1572,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,"5,128","5,128"
1573,VIJAYSHREE AUTOCOM LIMITED,148,148
1574,VIJAY TROLLY WORKS,3,3
1575,VIJEX STEEL FABRICATION,139,139
1576,VIKASH ENGINEERING WORKS,4,4
1577,VIKASH TRAILERS,1,1
1578,VIKRANT ENGINEERING,68,68
1579,VIKRANT ENGINEERS TRAILOR CUTTACK KHAPURIA,17,17
1580,VIMAL UNIVERSAL TRADE PVT LTD,"1,391","1,391"
1581,VINA ENGINEERING WORKS,14,14
1582,VINCI INDUSTRIAL CORPORATION,74,74
1583,VINTAGE VEHICLES,38,38
1584,VISHALA E-VEHICLES INDUSTRIES PRIVATE LIMITED,12,12
1585,VISHAL AGRICULTURAL WORKS,21,21
1586,VISHAL ENTERPRISES,270,270
1587,VISHAVKARMA ENGINEERING WORKS,551,551
1588,VISHWAKARMA AGRICULTURE UDHYOG,36,36
1589,VISHWAKARMA GNG INDUSTRY,180,180
1590,VISHWARUP ENTERPRISE,1,1
1591,VISHWA SANJAY TRAILOR,2,2
1592,VISHWAS AUTOMOBILES LLP,30,30
1593,VISWAKARMA AGRO INDUSTRIES,8,8
1594,"VISWANATH INDUSTRIES,BBSR",29,29
1595,VISWANATH INDUSTRIES BBSR LAXMISAGAR,29,29
1596,VITAN JAGADA AUTOMOBILE PVT LTD,5,5
1597,VIVEK ENGG. WORKS,3,3
1598,VIVEK MOTORS,11,11
1599,VMP CONCRETE EQUIPMENTS PVT LTD,6,6
1600,VMT INDUSTRIES,78,78
1601,VMT INDUSTRIES PVT LTD,188,188
1602,VOLKSWAGEN AG,22,22
1603,VOLKSWAGEN INDIA PVT LTD,7,7
1604,VOLTAS LIMITED,4,4
1605,VOLTEXPRESS INDUSTRIES,5,5
1606,VOLVO,7,7
1607,VOLVO AUTO INDIA PVT LTD,"1,698","1,698"
1608,VOLVO CE INDIA PRIVATE LIMITED,587,587
1609,"""VOLVO GROUP INDIA PVT LTD""",908,908
1610,VOLVO GROUP TRUCKS CENTRAL EUROPE GMBH,2,2
1611,VOLVO TRUCKS CORPORATION,2,2
1612,VORC MOTORS PVT LTD,35,35
1613,VRINDA ENTERPRISES,"1,117","1,117"
1614,V R WELDING WORKS,3,3
1615,VST MOTER INDIA COMPANY,2,2
1616,V S TRAILERS,1,1
1617,V.S.T. TILLERS TRACTORS LIMITED,"2,869","2,869"
1618,VST TILLER TRACTOR LTD,2,2
1619,VST ZETOR PVT LTD,46,46
1620,VTECH MOTORS,1,1
1621,V.T. ENGINEERING,14,14
1622,V.V.A.AUTO INDUSTRIES PVT.LTD,4,4
1623,WAKEN MULTITECH PVT LTD,5,5
1624,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,"9,422","9,422"
1625,WARIVO MOTOR INDIA PVT LTD,221,221
1626,WASAN E-MOBILITY SOLUTIONS PVT LTD,13,13
1627,WASIM MEERA ENGG WORKS,4,4
1628,WELKIN HEALTHCARE PVT LTD,7,7
1629,WHITE CARBON MOTORS PVT LTD,33,33
1630,WILLYS INDIA LTD,5,5
1631,WIRTGEN INDIA PVT LTD,528,528
1632,WISENT INFRATECH LLP,26,26
1633,WOX COOLERS PVT LTD,3,3
1634,WUXI DAYANG ELECTRIC (IMPORTER: ABZO MOTORS),26,26
1635,WUXI DAYANG (IMPORTER: MOVAENERGY PRIVATE LIMITED),6,6
1636,WUXI DONGMA (IMPORTER: DYNAM PRECISION),1,1
1637,WUXI JIYAYI (IMPORTER: IZANAU ELECTRIC LLP),96,96
1638,WUXI MAYA (IMPORTER: DYNAMO ELECTRIC P. LTD.),41,41
1639,WUXI NOOMA (IMPORTER: SMARTNK  ELECTRIC VEHICLE),7,7
1640,WUXI SAIGE ELECTRIC (IMPORTER: DELTA AUTOCORP LLP),71,71
1641,WUXI SAIGE (IMPORTER: DM GREEN ENERGY),32,32
1642,WUXI SAIGE (IMPORTER: E-VISHWA ELECTOBIKE),2,2
1643,WUXI SAIGE (IMPORTER: KKL HITECH EV),8,8
1644,WUXI SAIGE (IMPORTER: NGAGE IMPEX),17,17
1645,WUXI SAIGE (IMPORTER: WARIVO MOTOR),99,99
1646,WUXI SAIGE (IMPORTER: ZELIO AUTO PVT.LTD.),17,17
1647,WUXI SHENGBAO (IMPORTER:ELECTRIC ONE ENERGY),74,74
1648,WUXI SHENGBAO (IMPORTER:SHEMA E-VEHICLE),53,53
1649,WUXI TENGHUI (IMPORTER: BOHRE ELECTRIC),1,1
1650,WUXI TENGHUI (IMPORTER: CAL-ON INDUSTRIES),34,34
1651,WUXI TENGHUI (IMPORTER: FEZORA INDIA),11,11
1652,WUXI TENGHUI (IMPORTER: FLYCON MOTORS),164,164
1653,WUXI TENGHUI (IMPORTER: FRANKLIN EV INDIA),31,31
1654,WUXI TENGHUI (IMPORTER: HOP ELECTRIC MOBILITY),120,120
1655,WUXI TENGHUI (IMPORTER: JAIDKA POWER),26,26
1656,WUXI TENGHUI (IMPORTER: JOZHI SERVICES),181,181
1657,WUXI TENGHUI (IMPORTER: NXTMOBILITY ENERGY),1,1
1658,WUXI TENGHUI (IMPORTER: RADHA MOBILITIES LLP),13,13
1659,WUXI TENGHUI (IMPORTER: REMARK ELECTRIC),4,4
1660,WUXI TENGHUI (IMPORTER: SEEKA E MOTORS),224,224
1661,WUXI TENGHUI (IMPORTER: SUSHAMA MOTORS),5,5
1662,WUXI TENGHUI INTERNATIONAL (IMPORTER: FEZORA),11,11
1663,WUXI TENGHUI INTERNATIONAL (IMPORTER: FRANKLIN EV),5,5
1664,WUXI TOURWE (IMPORTER: GOREEN E-MOBILITY),295,295
1665,WUXI YIZHILING (IMPORTER: BMR EV INDUSTRIES),1,1
1666,WUXI YIZHILING (IMPORTER: HOMFEEL VEGH),82,82
1667,XCMG CONSTRUCTION MACHINERY CO. LTD.,17,17
1668,XIDAA MOTO PVT LTD,2,2
1669,"XUZHOU CONSTRUCTION MACHINERY GROUP CO. LTD, CHINA",202,202
1670,XUZHOU CONSTRUCTION MACHINERY MANUFACTURING (IND),69,69
1671,XYZ1,280,280
1672,XYZ2,27,27
1673,YAARI AUTOMOBILES PVT LTD,213,213
1674,YADEA TECHNOLOGY (IMPORTER: YULU BIKES),267,267
1675,YAGYAPRIYAA CONSTRUCTION EQUIPMENT INDIA PVT LTD,10,10
1676,YANGGUANG LINGMU (IMPORTER: ECOINDIA),1,1
1677,YANGGUANG LINGMU (IMPORTER: FLYCON MOTORS),78,78
1678,YANGGUANG LINGMU (IMPORTER: REMARK ELECTRIC),5,5
1679,YANGGUANG LINGMU (IMPORTER: XWLS ELECTRIC),5,5
1680,YASH AGRO ENGINEERING WORKS,13,13
1681,YC ELECTRIC VEHICLE,"44,630","44,630"
1682,YESH TRAILER,2,2
1683,YOUYAKU ELECTRIC (IMPORTER: HOUSTAN INNOVATION),135,135
1684,YOUYAKU ELECTRIC (IMPORTER:IME VEHICLES PVT LTD),123,123
1685,YOUYAKU ELECTRIC (IMPORTER:KRISHIKA EV INDIA),16,16
1686,YOUYAKU ELECTRIC (IMPORTER:NEWTRON ELECTRIC),48,48
1687,YOUYAKU ELECTRIC (IMPORTER:ONZO EV),31,31
1688,YOUYAKU ELECTRIC (IMPORTER: SASDAL ENTERPRISES),69,69
1689,YOUYAKU ELECTRIC (IMPORTER: SHEMA E-VEHICLE),14,14
1690,YOUYAKU ELECTRIC (IMPORTER: SMOBILITY EV),81,81
1691,YOUYAKU ELECTRIC (IMPORTER: TES ELECTRIC),1,1
1692,YOUYAKU ELECTRIC (IMPORTER: TVISI ELECTRIC),18,18
1693,YOUYAKU ELECTRIC TECHNOLOGY (IMPORTER:JHEV MOTORS),2,2
1694,YUVRAJ INTERNATIONAL,6,6
1695,ZAP (HK) (IMPORTER: IZANAU ELECTRIC),56,56
1696,ZAP (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),7,7
1697,ZELIO AUTO PVT LTD,165,165
1698,ZENIAK INNOVATION INDIA LTD,"7,997","7,997"
1699,ZENMO PRIVATE LIMITED,"1,498","1,498"
1700,ZENTHIUM EV PVT LTD,"1,056","1,056"
1701,ZEOPLUS AXIS INDIA PVT. LTD.,"7,193","7,193"
1702,ZERO 21 RENEWABLE ENERGY SOLUTIONS PVT LTD,74,74
1703,ZESAR MOTORS PVT LTD,78,78
1704,ZHEJIANG CFMOTO (IMPORTER: ADISHWAR AUTO),35,35
1705,ZHEJIANG CHANGLING (IMPORTER: ADISHWAR AUTO),114,114
1706,ZHEJIANG LUYUAN (IMPORTER: DYNAM EV TECH),15,15
1707,ZHEJIANG MORNI (IMPORTER: ADISHWAR AUTO),43,43
1708,ZHEJIANG QIANJIANG (IMPORTER: ADISHWAR AUTO),244,244
1709,ZHEJIANG TIANYING  (IMPORTER: NEWTRON ELECTRIC),2,2
1710,ZHONGHUALONG (IMPORTER: POWORO PVT LTD),172,172
1711,ZHONGXING (IMPORTER:GREENO AUTOMOBILE),5,5
1712,ZOHAN TRADERS AND BIG METRO,213,213
1713,ZOOMLION INDIA PVT LTD,167,167
1714,ZUBEDA TROLLY REPAIRING WORKS,34,34
